profile_id,total_cases,completion_rate,escalation_rate,timeout_rate,distance_accuracy_among_completed,distance_success_rate_all_cases,avg_steps
mild_anisometrope,180,1.0,0.0,0.0,0.9731,0.8444,36.96
high_symptom_stable,106,1.0,0.0,0.0,0.9748,0.8491,40.56
fluctuating_vision_adult,102,1.0,0.0,0.0,0.9755,0.8529,41.43
medical_risk_flagged,100,1.0,0.0,0.0,0.9783,0.88,36.46
moderate_anisometrope,167,1.0,0.0,0.0,0.979,0.8802,36.66
low_confidence_like_case,101,1.0,0.0,0.0,0.9851,0.9109,36.48
large_mismatch_candidate,204,0.9951,0.0049,0.0,0.9885,0.9314,40.27
high_myope_stable,759,1.0,0.0,0.0,0.9967,0.9802,32.39
conservative_comfort_first,397,1.0,0.0,0.0,0.9971,0.9824,32.58
near_demand_professional,454,0.9934,0.0066,0.0,0.9974,0.9846,35.57
screen_heavy_young_adult,733,1.0,0.0,0.0,0.9975,0.985,32.5
comfortable_current_glasses,1183,1.0,0.0,0.0,0.9976,0.9856,31.08
young_stable_myope,1719,1.0,0.0,0.0,0.9978,0.9866,32.41
dissatisfied_current_glasses,732,1.0,0.0,0.0,0.998,0.9877,32.22
driver_night_symptoms,480,1.0,0.0,0.0,0.9983,0.9896,36.4
young_astigmat,731,1.0,0.0,0.0,0.9984,0.9904,32.6
adult_hyperope,977,1.0,0.0,0.0,0.9985,0.9908,32.18
presbyope_distance_priority,541,0.9963,0.0037,0.0,0.9991,0.9945,35.45
presbyope_near_priority,334,0.985,0.015,0.0,1.0,1.0,47.64
